
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
70:69:5A:93:06:80, 2019-03-12 00:02:20, 2019-03-12 00:02:20,  1, 130, WPA2, CCMP, PSK, -52,        2,        0,   0.  0.  0.  0,  14, Parkeerservice, 
8C:68:C8:89:0A:AC, 2019-03-12 00:02:51, 2019-03-12 00:02:51, 64, 1170, WPA2, CCMP, PSK, -84,        1,        0,   0.  0.  0.  0,  11, H369A890AAB, 
1C:B9:C4:38:87:1C, 2019-03-12 00:01:21, 2019-03-12 00:02:53, 100, 360, OPN, ,   , -81,        7,        0,   0.  0.  0.  0,  19, Hilversum Mediastad, 
E8:DF:70:5D:01:39, 2019-03-12 00:01:21, 2019-03-12 00:02:51, 116, 1170, WPA2, CCMP, PSK, -76,        4,        1,   0.  0.  0.  0,  17, FRITZ!Box 5490 PS, 
70:69:5A:93:06:8F, 2019-03-12 00:02:49, 2019-03-12 00:03:53, 36, 780, WPA2, CCMP, PSK, -84,        4,        0,   0.  0.  0.  0,  14, Parkeerservice, 
10:DA:43:C8:F1:1F, 2019-03-12 00:02:23, 2019-03-12 00:03:53, 44, 1170, WPA2, CCMP, PSK, -83,        4,        0,   0.  0.  0.  0,   9, NetGear5G, 
48:D3:43:A9:31:97, 2019-03-12 00:01:20, 2019-03-12 00:03:53, 40, 1170, WPA2, CCMP, PSK, -83,        6,        0,   0.  0.  0.  0,  12, Ziggo0761895, 
1C:B9:C4:78:87:1C, 2019-03-12 00:01:21, 2019-03-12 00:03:54, 100, 360, WPA2, CCMP, MGT, -82,        7,        0,   0.  0.  0.  0,   5, Ziggo, 
1C:B9:C4:B8:87:1C, 2019-03-12 00:01:21, 2019-03-12 00:03:54, 100, 360, WPA2, CCMP, MGT, -81,        8,        0,   0.  0.  0.  0,   7, schvs01, 
48:D3:43:FB:F9:67, 2019-03-12 00:01:21, 2019-03-12 00:03:53, 36, 1170, WPA2, CCMP, PSK, -81,        5,        0,   0.  0.  0.  0,  12, Ziggo0924555, 
1C:3A:DE:92:83:C3, 2019-03-12 00:02:52, 2019-03-12 00:03:55, 120, 1300, WPA2, CCMP, PSK, -80,        2,        0,   0.  0.  0.  0,  12, HZN502032427, 
1C:B9:C4:78:87:6C, 2019-03-12 00:01:22, 2019-03-12 00:03:55, 136, 360, WPA2, CCMP, MGT, -71,        4,        0,   0.  0.  0.  0,   5, Ziggo, 
